casts,cover,directors,rate,title
"邓超,孙俪,郑恺,王千源,王景春",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530513100.jpg,张艺谋,7.2,影
"汤唯,吴秀波,惠英红,秦沛,吴彦姝",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2336879398.jpg,薛晓路,6.4,北京遇上西雅图之不二情书
"张译,吴京,李九霄,魏晨,邓超",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2623301908.jpg,"管虎,郭帆,路阳,田羽生",6.5,金刚川
"成龙,杨洋,艾伦,徐若晗,母其弥雅",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2619027144.jpg,唐季礼,4.6,急先锋
"徐璐,彭昱畅,刘泳希,鲁照华,韩忠羽",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2494275431.jpg,王冉,7.3,闪光少女
"宋小宝,马丽,沙溢,张一山,肖央",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2632091530.jpg,宋小宝,6.0,发财日记
"吴京,章子怡,井柏然,张译,胡歌",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2568577681.jpg,李仁港,6.1,攀登者
"周迅,秦昊,杜江,张子枫,邓恩熙",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2538345957.jpg,岩井俊二,6.7,你好，之华
"成龙,权相宇,廖凡,姚星彤,张蓝心",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1826580562.jpg,成龙,6.7,十二生肖
"吴京,余男,斯科特·阿金斯,凯文·李,倪大红",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2225660666.jpg,吴京,6.9,战狼
"邓超,白宇,任素汐,王西,孙浠伦",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561542089.jpg,"邓超,俞白眉",6.3,银河补习班
"章宇,宋佳,王砚辉,李鸿其,邓恩熙",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2626255103.jpg,李霄峰,6.3,风平浪静
"梁朝伟,金城武,陈奕迅,杨颖,张榕容",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2390687452.jpg,张嘉佳,4.1,摆渡人
"于谦,汤梦佳,王广源,秦鸣悦,徐子力",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2551352209.jpg,张栾,6.7,老师·好
"沈腾,马丽,杜晓宇,林雪,王子子",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2298762068.jpg,张承,6.0,一念天堂
"张雪迎,果靖霖,智一桐,代旭,黄诗佳",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540513831.jpg,曹保平,8.2,狗十三
"迪丽热巴,张云龙,高伟光,金晨,马薇薇",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455810613.jpg,"李海蜀,黄彦威",4.8,傲娇与偏见
"王宝强,倪大红,吴孟达,刘昊然,都桂宇",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2631649666.jpg,唐季礼,4.0,少林寺之得宝传奇
"丹尼斯·奎德,凯瑟琳·普雷斯科特,刘宪华,玛格·海根柏格,贝蒂·吉尔平",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555859678.jpg,盖尔·曼库索,7.0,一条狗的使命2
"陶泽如,李岷城,嵇波,胡先煦,郑伟",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2332714135.jpg,吴天明,8.2,百鸟朝凤
"杨子姗,归亚蕾,陈柏霖,鹿晗,王德顺",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2216353367.jpg,陈正道,7.1,重返20岁
"任素汐,吴昱翰,刘迅,汤敏,赵海燕",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2576482356.jpg,"周申,刘露",7.4,半个喜剧
"古天乐,张智霖,周渝民,蔡少芬,林保怡",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2370795749.jpg,林德禄 ,5.8,反贪风暴2
"姜文,香川照之,袁丁,姜宏波,丛志军",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,姜文,9.3,鬼子来了
"白客,杨子姗,陈柏霖,马天宇,刘循子墨",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2291070523.jpg,易小星,5.6,万万没想到
"杨幂,柯震东,郭采洁,凤小岳,郭碧婷",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2060736910.jpg,郭敬明,5.0,小时代2：青木时代
"邓超,杨幂,古力娜扎,栾元晖,秦越",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2188112867.jpg,"俞白眉,邓超",5.1,分手大师
"彭昱畅,王大陆,魏大勋,曾梦雪,贾冰",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567277578.jpg,田羽生,5.1,小小的愿望
"黄晓明,邓超,佟大为,杜鹃,王真儿",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1959304567.jpg,陈可辛,7.6,中国合伙人
"夏雨,宁静,陶虹,耿乐,斯琴高娃",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,姜文,8.8,阳光灿烂的日子
"刘德华,姜武,宋佳,吴卓羲,姜皓文",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2465858820.jpg,邱礼涛,6.3,拆弹专家
"威尔·史密斯,玛丽·伊丽莎白·温斯特德,克莱夫·欧文,本尼迪克特·王,道格拉斯·霍奇斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2570906505.jpg,李安,6.9,双子杀手
"汪可盈,阿尔伯特·蔡,丹增·诺盖·特雷纳,莎拉·保罗森,艾迪·伊扎德",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2616427110.jpg,"吉尔·卡尔顿,托德·维尔德曼",7.3,雪人奇缘
"邱岳峰,富润生,毕克,尚华,于鼎",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,"万籁鸣,唐澄",9.4,大闹天宫
"杨子姗,赵又廷,韩庚,江疏影,刘雅瑟",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1935067049.jpg,赵薇,6.5,致我们终将逝去的青春
"张震,刘诗诗,王千源,李东学,聂远",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2194066391.jpg,路阳,7.6,绣春刀
"汤唯,吴秀波,海清,宋美曼,宋美慧",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1878328589.jpg,薛晓路,7.3,北京遇上西雅图
"汤姆·希德勒斯顿,塞缪尔·杰克逊,布丽·拉尔森,约翰·C·赖利,约翰·古德曼",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2436030518.jpg,乔丹·沃格特-罗伯茨,6.5,金刚：骷髅岛
"大鹏,柳岩,张子贤,张邵勃 ,刘刚",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2572429001.jpg,申奥,6.6,受益人
"杰克·布莱克,布莱恩·科兰斯顿,达斯汀·霍夫曼,安吉丽娜·朱莉,J·K·西蒙斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2306653420.jpg,"吕寅荣,亚历山德罗·卡罗尼",7.7,功夫熊猫3
"董子健,秦海璐,咏梅,焦刚,安悦溪",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2050428637.jpg,刘杰,7.4,青春派
"白敬亭,郭姝彤,李宏毅,王鹤润,丁冠森",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2332755749.jpg,姚婷婷,6.7,谁的青春不迷茫
"宋洋,姜武,袁文康,谭卓,王梓尘",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2517333671.jpg,忻钰坤,8.3,暴裂无声
"张曼玉,王祖贤,赵文卓,吴兴国,马精武",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.jpg,徐克,8.6,青蛇
"文章,舒淇,黄渤,罗志祥,李尚正",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1856385532.jpg,"周星驰,郭子健",7.1,西游降魔篇
"刘德华,刘若英,王宝强,李冰冰,葛优",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2191934463.jpg,冯小刚,8.0,天下无贼
"杨幂,鹿晗,王景春,朱亚文,刘芮麟",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2279732402.jpg,安相勋,6.3,我是证人
"马特·达蒙,景甜,佩德罗·帕斯卡,刘德华,威廉·达福",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2400082527.jpg,张艺谋,4.9,长城
"成龙,皮尔斯·布鲁斯南,刘涛,梁佩诗,夏莉·墨菲",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2499135561.jpg,马丁·坎贝尔,7.0,英伦对决
"黄渤,段奕宏,徐静蕾,杨子姗,梁杰理",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455156816.jpg,陈正道,7.1,记忆大师
"徐峥,王丽坤,王砚辉,段博文,任达华",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2520543845.jpg,任鹏远,5.7,幕后玩家
"徐帆,张静初,李晨,陈道明,张子枫",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p545837150.jpg,冯小刚,7.8,唐山大地震
"黄尧,孙阳,汤加文,倪虹洁,江美仪",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549537782.jpg,白雪,7.7,过春天
"艾伦,金春花,彭杨,宋楠惜,静芳",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2562934437.jpg,林育贤,5.0,跳舞吧！大象
"成龙,牛骏峰,薇薇安,苏柏丽,约翰·赵",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2626260539.jpg,克里斯·艾伯翰斯,6.6,许愿神龙
"甄子丹,任达华,熊黛林,池内博之,林家栋",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p458263441.jpg,叶伟信,7.7,叶问
"张曼玉,林青霞,梁家辉,甄子丹,熊欣欣",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,李惠民,8.6,新龙门客栈
